system:index,annual_mean_wind_speed,lat,lon,year,.geo
113_0,3.5432763945535464,41.320960237677674,-90.90062244736077,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,4.027168724866865,30.117344344548194,-102.63026656730096,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,2.440552127322866,35.89466355445681,-76.3388617707542,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,3.6704930145243235,30.46417297185063,-96.58624244312628,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,4.919121384161677,46.61450825564826,-102.46075024045776,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,4.167590992653865,37.90954679004147,-98.76015701147891,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,3.341574937344082,47.25805971761406,-91.36419066832318,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,3.37051803029005,39.46336217495537,-94.31973308268302,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,2.3944186990029444,40.58574549039205,-115.96420170065056,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,1.8562328676956603,39.24969493407746,-117.40367884762583,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,2.2146977695007735,38.51778303397955,-80.18058421740506,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,4.54135498086895,47.74222521394218,-98.01517395379551,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,1.976171412695491,36.90777308593278,-81.52616198583267,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,2.363014779751295,36.044415996234754,-94.74064087153265,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,2.8307743282330238,35.50075480205698,-89.88425300157505,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,2.994849228835491,32.36816697472439,-106.1392986365468,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,2.742965817279366,27.438858704160303,-103.61655527088688,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,4.364496409762792,43.28981782372886,-99.38478162862158,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,2.1283468445348652,41.27854211898545,-76.7053920325504,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,2.977754303022537,45.547556156246216,-119.11623426518115,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,2.431683344768929,28.686369034927278,-105.23847381684818,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,2.9295835495437976,35.475216723540306,-111.5453357305881,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,2.672758033662104,47.37432543083022,-70.67124957804656,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,3.979251789704313,31.940215870394248,-108.14135458259041,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,3.24489634605371,32.68641414446871,-112.56884727431137,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,2.6323331208741867,40.69198282751212,-120.14519173783012,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,2.715303998236163,28.206904993437455,-102.65219827311762,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,2.9923603976920217,48.99214204127741,-95.80118776487868,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,3.2903606150364735,27.855211213776272,-104.0381540016443,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,3.398818577560871,33.34030158766041,-95.93993137037762,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,2.0363363448204317,31.90885930741861,-85.40532183114928,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,1.9507269293924212,42.12983558816002,-120.33879564025843,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,1.4988222925414891,44.44243285350007,-113.06140950298425,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,1.9130930047874863,45.586465141371484,-111.0920044411007,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,5.866268127475067,43.26369073794939,-82.29547842501835,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,3.4428394647068727,36.15794290717012,-110.04771371431215,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,2.4558991491618793,40.96127304328208,-116.40632505110635,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,1.5607042166914065,37.636696034764356,-106.07618455831758,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,1.9915165848272354,32.21752588246297,-89.7009696328076,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,2.247618180878388,38.09045366152627,-86.5219760443108,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,2.0356991397735684,41.46248588321715,-118.05030495427023,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,4.43249087447435,46.1197641954314,-104.7812110231172,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,4.5317849789027385,37.294087157866905,-101.37601921674046,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,1.3573479592063475,39.27306781991569,-107.37738432106245,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,3.8053181212301235,39.9283944355045,-88.88149404380383,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,2.5107726437458275,48.83686651930783,-89.27615409116444,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,4.90094717238209,46.61759097386553,-104.30847981571712,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,2.1028669332887486,34.6128986760318,-88.9524630325392,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,3.0234040614911457,38.39030342881053,-104.48525226456388,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,3.464181296968013,39.61575111495076,-87.69539602541462,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,2.6229115922651514,46.16952549796686,-69.7300682285083,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,4.448675068259324,33.98728639442917,-102.23776328844374,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,2.9821877417140246,30.86812355109094,-105.30346256819215,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,4.039318759917008,42.74683923619177,-91.85211856102225,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,2.5837601095927734,45.75773601900111,-88.74588463893485,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,2.2225694659488533,36.11563479437665,-87.06564279467794,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,1.8458642849170097,34.83706503555016,-85.29111992713851,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,1.4170340162290396,43.67296366451917,-122.89013205740807,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,2.46743062303689,47.49207229909701,-84.07100826239056,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,2.555164814662452,41.48478997398783,-72.81430274229551,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,3.5988589033064557,39.29281674909575,-97.51693488836283,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,3.263494747595053,29.90634186278318,-99.63699729954457,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,2.4642214830987896,47.00003158289851,-69.48124687288812,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,2.62651322296597,32.103011151157766,-82.44172490163972,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,2.7059517919340736,29.980489069149474,-95.01300416046229,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,3.662741714633433,40.16996522769178,-86.09630757037434,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,2.4954934404173703,47.27537771601796,-74.78985074089873,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,3.167742228486878,29.951088557671966,-95.86475667421539,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,5.187065969087603,44.225584847882466,-105.2783461943867,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,4.9928542009831585,42.85607380099505,-104.50960738209656,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,4.036879923509396,31.7063052838638,-107.10040193497689,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,2.2240811608692317,41.45829261037687,-74.6023003046527,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,2.2322996620847153,43.52459433217392,-70.9914630610297,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,3.1592505229979913,47.29165405627902,-119.14551562659484,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,2.6605837054475865,36.51935647761371,-113.80172770131371,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,6.058623389028818,42.848482649312906,-87.84979118677992,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,4.692078508481364,45.566549093924245,-104.4695617042573,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,3.693031487550323,48.11792582735415,-109.37454484375348,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,2.093482696003636,39.14813565983157,-81.0174982221152,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,3.8839361737368367,40.55150120521979,-100.1968455455316,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,1.6595873672532497,44.22253755850183,-118.67129199279609,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,2.378203904720127,49.318148089099985,-81.8203160548172,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,1.942534389462843,36.10329261195608,-80.41512565142045,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,4.859747897673591,34.98171625805447,-102.29996615672601,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,4.647279473700958,32.212107672465095,-101.8154827095521,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,3.417192648270662,39.54309504455735,-83.81433214992748,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,7.286141620050184,45.278432359238344,-86.02056952063414,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,3.20795459841242,45.6231815454827,-93.968537440981,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,3.9212868413306405,38.97318609659316,-96.44470020344338,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,1.587178782236601,44.68112512475372,-118.67466992445958,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,1.662509658707158,47.24139391254117,-122.97052760955039,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,2.5604827098233605,47.65579707546815,-68.28844345155056,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
